latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
5.01346,-54.50893,308.53,0.44,0.46,2025-01-18,442,N,VIIRS,n,2.0NRT,290.45,0.99,N
5.91285,-55.58986,315.65,0.54,0.51,2025-01-18,442,N,VIIRS,n,2.0NRT,291.69,2.14,N
6.94891,-58.56133,315.83,0.44,0.63,2025-01-18,442,N,VIIRS,n,2.0NRT,291.26,1.69,N
7.34399,-61.96317,308.97,0.76,0.77,2025-01-18,442,N,VIIRS,n,2.0NRT,286.97,1.77,N
7.34604,-61.96551,300.43,0.76,0.77,2025-01-18,442,N,VIIRS,n,2.0NRT,286.78,1.33,N
8.00464,-56.91435,304.77,0.35,0.57,2025-01-18,442,N,VIIRS,n,2.0NRT,287.83,21.45,N
8.00862,-56.90379,310.36,0.35,0.57,2025-01-18,442,N,VIIRS,n,2.0NRT,287.9,1.81,N
8.00906,-56.90706,324.23,0.35,0.57,2025-01-18,442,N,VIIRS,n,2.0NRT,288.06,1.81,N
8.0095,-56.91033,342.34,0.35,0.57,2025-01-18,442,N,VIIRS,n,2.0NRT,288.6,21.45,N
8.01125,-56.92342,307.15,0.36,0.57,2025-01-18,442,N,VIIRS,n,2.0NRT,287.79,2.05,N
10.37429,-61.47664,303.45,0.77,0.77,2025-01-18,442,N,VIIRS,n,2.0NRT,288.55,1.25,N
10.37609,-61.47689,304.04,0.77,0.77,2025-01-18,442,N,VIIRS,n,2.0NRT,288.47,1.64,N
5.25002,-57.57111,321.72,0.36,0.57,2025-01-18,444,N,VIIRS,n,2.0NRT,290.11,1.33,N
39.9411,-76.81685,321.28,0.37,0.58,2025-01-18,614,N,VIIRS,n,2.0NRT,271.72,1.92,N
41.43525,-75.59792,302.23,0.33,0.55,2025-01-18,614,N,VIIRS,n,2.0NRT,265.35,0.57,N
24.67667,-78.01919,299.19,0.61,0.53,2025-01-18,618,N,VIIRS,n,2.0NRT,285.41,1.82,N
24.67745,-78.01864,300.74,0.61,0.53,2025-01-18,618,N,VIIRS,n,2.0NRT,285.66,1.66,N
24.68226,-78.02469,310.2,0.61,0.53,2025-01-18,618,N,VIIRS,n,2.0NRT,285.09,3.19,N
24.683,-78.02414,305.88,0.61,0.53,2025-01-18,618,N,VIIRS,n,2.0NRT,284.87,1.66,N
24.68359,-78.03027,302.2,0.61,0.53,2025-01-18,618,N,VIIRS,n,2.0NRT,284.43,2.32,N
18.18078,-71.24772,312.92,0.38,0.36,2025-01-18,620,N,VIIRS,n,2.0NRT,291.19,1.04,N
18.29176,-71.15423,307.35,0.38,0.36,2025-01-18,620,N,VIIRS,n,2.0NRT,292.72,0.68,N
18.30625,-71.0779,309.17,0.38,0.36,2025-01-18,620,N,VIIRS,n,2.0NRT,293.08,0.58,N
18.45053,-70.6408,305.08,0.38,0.36,2025-01-18,620,N,VIIRS,n,2.0NRT,293.85,0.7,N
18.54982,-72.33488,304.77,0.4,0.37,2025-01-18,620,N,VIIRS,n,2.0NRT,294,0.72,N
18.85839,-71.53802,302.48,0.39,0.36,2025-01-18,620,N,VIIRS,n,2.0NRT,290.98,0.51,N
18.99582,-72.30939,311.33,0.4,0.37,2025-01-18,620,N,VIIRS,n,2.0NRT,291.5,1.01,N
18.99642,-72.31337,314.71,0.4,0.37,2025-01-18,620,N,VIIRS,n,2.0NRT,291.37,1.01,N
19.4657,-70.78419,308.28,0.38,0.36,2025-01-18,620,N,VIIRS,n,2.0NRT,291.62,0.68,N
20.20105,-75.56632,302.56,0.57,0.43,2025-01-18,620,N,VIIRS,n,2.0NRT,289.76,0.35,N
